currency_pair,open_date,position,trade_amount,result
CA/JP,2018-04-10,short,36.92857994288381,6.514205194782692
AU/JP,2018-04-10,short,51.14192089281963,12.39424964256692
CA/AU,2018-04-10,short,82.88753142145481,-5.46643269724495
AU/SW,2018-04-10,short,50.99026630861309,18.12194064608109
JP/SW,2018-04-10,short,183.63865479671023,20.760331560902618
CA/SW,2018-04-10,short,49.60205214792971,14.357313994218249
JP/SW,2018-04-11,short,183.51865479671022,20.746765572902618
AU/SW,2018-04-11,short,50.820266308613085,18.061522646081087
CA/SW,2018-04-11,short,49.79705214792971,14.413756744218249
AU/JP,2018-04-11,short,50.971920892819625,12.35305012556692
CA/JP,2018-04-11,short,37.12357994288381,6.548603214282692
CA/AU,2018-04-11,short,83.0825314214548,-5.479292947244949
CA/JP,2018-04-12,short,36.8635799428838,6.502739188282691
AU/JP,2018-04-12,short,50.52192089281963,12.243992580566921
CA/AU,2018-04-12,short,82.8225314214548,-5.46214594724495
AU/SW,2018-04-12,short,50.37026630861309,17.901592646081088
JP/SW,2018-04-12,short,184.05865479671024,20.80781251890262
CA/SW,2018-04-12,short,49.53705214792971,14.338499744218247
CA/AU,2018-04-13,short,82.6375314214548,-5.449945197244949
CA/JP,2018-04-13,short,36.67857994288381,6.470105169782692
AU/JP,2018-04-13,short,50.51192089281963,12.241569079566922
JP/SW,2018-04-13,short,184.15865479671024,20.819117508902618
AU/SW,2018-04-13,short,50.36026630861309,17.89803864608109
CA/SW,2018-04-13,short,49.352052147929705,14.284951494218246
JP/SW,2018-04-16,short,185.09865479671024,20.92538441490262
AU/SW,2018-04-16,short,50.610266308613085,17.986888646081088
CA/SW,2018-04-16,short,49.642052147929704,14.368891994218247
AU/JP,2018-04-16,short,50.761920892819624,12.302156604566921
CA/JP,2018-04-16,short,36.96857994288381,6.521261198782692
CA/AU,2018-04-16,short,82.9275314214548,-5.469070697244949
CA/AU,2018-04-17,short,82.97753142145481,-5.4723681972449505
CA/JP,2018-04-17,short,37.01857994288381,6.530081203782693
AU/JP,2018-04-17,short,50.061920892819636,12.132511534566923
JP/SW,2018-04-17,short,184.62865479671024,20.87225096190262
AU/SW,2018-04-17,short,49.910266308613096,17.73810864608109
CA/SW,2018-04-17,short,49.69205214792971,14.383364494218247
CA/JP,2018-04-18,short,36.7885799428838,6.489509180782691
CA/AU,2018-04-18,short,82.7475314214548,-5.457199697244949
AU/JP,2018-04-18,short,49.811920892819636,12.071924009566922
JP/SW,2018-04-18,short,183.79865479671022,20.77841954490262
AU/SW,2018-04-18,short,49.660266308613096,17.64925864608109
CA/SW,2018-04-18,short,49.462052147929704,14.316790994218247
JP/SW,2018-04-19,short,182.50865479671023,20.63258517390262
AU/SW,2018-04-19,short,49.2302663086131,17.496436646081094
CA/SW,2018-04-19,short,49.327052147929706,14.277715244218248
AU/JP,2018-04-19,short,49.38192089281964,11.967713466566925
CA/JP,2018-04-19,short,36.65357994288381,6.465695167282692
CA/AU,2018-04-19,short,82.6125314214548,-5.4482964472449495
CA/JP,2018-04-20,short,36.4885799428838,6.436589150782691
CA/AU,2018-04-20,short,82.4475314214548,-5.437414697244949
AU/JP,2018-04-20,short,49.08192089281963,11.895008436566922
CA/SW,2018-04-20,short,49.1620521479297,14.229955994218246
AU/SW,2018-04-20,short,48.93026630861309,17.38981664608109
JP/SW,2018-04-20,short,181.95865479671022,20.570407728902616
JP/SW,2018-04-23,short,181.1086547967102,20.474315313902615
AU/SW,2018-04-23,short,48.55026630861309,17.25476464608109
CA/SW,2018-04-23,short,48.2620521479297,13.969450994218246
AU/JP,2018-04-23,short,48.70192089281963,11.802915398566922
CA/JP,2018-04-23,short,35.588579942883804,6.277829060782691
CA/AU,2018-04-23,short,81.5475314214548,-5.37805969724495
CA/JP,2018-04-24,short,35.548579942883805,6.270773056782692
AU/JP,2018-04-24,short,48.66192089281963,11.793221394566922
CA/AU,2018-04-24,short,81.5075314214548,-5.375421697244949
AU/SW,2018-04-24,short,48.51026630861309,17.240548646081088
JP/SW,2018-04-24,short,181.43865479671024,20.51162178090262
CA/SW,2018-04-24,short,48.22205214792971,13.957872994218247
CA/JP,2018-04-25,short,34.9735799428838,6.169342999282692
AU/JP,2018-04-25,short,48.241920892819635,11.691434352566922
CA/AU,2018-04-25,short,80.9325314214548,-5.337500447244949
AU/SW,2018-04-25,short,48.090266308613096,17.091280646081092
JP/SW,2018-04-25,short,181.12865479671024,20.47657631190262
CA/SW,2018-04-25,short,47.6470521479297,13.791439244218246
